occurrence_id,occurrence_location,ship_craft_type_l1,flag_state,gt_gross_tonnage,loa_length_overall_in_metres,port_of_accident_l1_occ,injury_type_l1,deaths_crew,injury_type_l1,short_description_occ,weather,loss_of_vessel_damage,date
88a86f90-dae6-ee11-904d-002248c87217,Coastal waters <= 12 nm,,,,,,,0,,Fishing support vessel grounded,Unknown,,2024-03-01
33a2a183-3411-ef11-9f89-002248c5c79a,Coastal waters <= 12 nm,,,,,,,0,,Fishing vessel started to take on water resulted in grounding,Unknown,,2024-05-01
4b0a3c77-d611-ef11-9f89-0022481b9ab5,Coastal waters <= 12 nm,,,,,,,0,,Pleasure vessel sunk with 3 persons onboard.,Unknown,,2024-05-01
e1995836-d369-ef11-a671-6045bd0e2db0,Coastal waters <= 12 nm,,,,,,,0,,Sailing vessel engine overheated resulting in smoke filling confined space.,Unknown,,2024-08-01
31e4369c-f47f-ef11-ac21-000d3a870c32,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,0.99,9.9,,Unknown or unspecified,0,Unknown or unspecified,Sailing vessel capsized and beached resulting injuries to a crew members leg.,Unknown,Minor damage (less than material damage),2024-09-01
00ee3254-1fa6-ed11-aad1-0022481b5108,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,Container ship's pilot ladder not rigged per SOLAS regulations.,Unknown,,2023-02-01
44d04291-9bb6-ed11-b597-6045bd0b12c1,Coastal waters <= 12 nm,Passenger ship,UNITED KINGDOM,110000.0,290.0,,Bone fractures,0,Bone fractures,Passenger ship's guest tripped on a step which resulted in a fracture to their arm.,Overcast,No damage,2023-02-01
6652cc87-68e3-ed11-8846-002248c878ca,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,41.0,20.0,,Bone fractures,0,Bone fractures,"Sailing vessel's passenger fell onto another passenger, breaking their foot.",Rain,No damage,2023-04-01
300d09e5-f7ef-ed11-8848-002248c8714f,Internal waters -> Port area,Recreational craft,UNITED KINGDOM,0.0,0.0,UNITED KINGDOM,Concussions and internal injuries (including crush injuries not mentioned above),0,Concussions and internal injuries (including crush injuries not mentioned above),A single handed sailing vessel crew member suffered a serious head injury during a race.,Unknown,No damage,2023-05-01
99f64514-03f0-ed11-8848-002248c8796d,Coastal waters <= 12 nm,,,,,,,0,,A sailing vessel ran aground on a submerged wreck and refloated without damage.,Overcast,,2023-05-01
197f2610-9cf0-ed11-8848-002248c8796d,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,110000.0,290.0,CANADA,Bone fractures,0,Bone fractures,Cruise ship's passenger tripped and sustained a shoulder injury,Overcast,No damage,2023-05-01
d2844545-e1f3-ed11-8848-002248c8796d,Inland waters -> River,,,,,,,0,,Oil tanker's main engine failed which resulted in a full blackout.,Clear,,2023-05-01
6ebbf86d-c2fb-ed11-8f6d-002248c8796d,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,Bulk carrier's pilot ladder not rigged per SOLAS regulations.,Unknown,,2023-05-01
a530b8ff-c6fe-ed11-8f6c-002248c8714f,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,9.9,8.8,,Multiple injuries,1,Multiple injuries,Sailing yacht crewmember presumed deceased after falling overboard during a race.,Unknown,No damage,2023-05-01
77890c44-ff1b-ee11-8f6d-002248c87a4c,Coastal waters <= 12 nm,,,,,,,0,,A sailing yacht ran aground on rocks and capsized.,Unknown,,2023-07-01
1743de17-eb3c-ee11-bdf4-002248c87a3c,Open sea -> Within EEZ,Passenger ship,UNITED KINGDOM,180000.0,340.0,,Bone fractures,0,Bone fractures,A cruise ship crewmember twisted their foot resulting in a fracture.,Overcast,No damage,2023-08-01
a607e36d-d5c1-ee11-9079-002248c87217,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,General cargo's pilot ladder did not conform to SOLAS regulations,Unknown,,2024-01-01
ef704aa7-6a2d-ef11-840a-6045bd0b033c,Coastal waters <= 12 nm,,,,,,,0,,Cargo vessel's pilot ladder did not conform to SOLAS regulations,Unknown,,2024-06-01
27428e27-e532-ef11-8e4e-6045bd0b05c8,Inland waters -> River,,,,,,,0,,"See MAIB investigation report, when available",Clear,,2024-06-01
0449d5cd-b854-ef11-bfe3-002248c7bf34,Open sea -> Within EEZ,Passenger ship,UNITED KINGDOM,110000.0,290.0,,Bone fractures,0,Bone fractures,Cruise ships passenger tripped resulting in closed fracture to the foot,Overcast,No damage,2024-08-01
b6b58c56-eb5a-ef11-bfe3-6045bd0ac912,Inland waters -> River,,,,,,,0,,An inland waterways vessel had a near miss with a moored vessel.,Clear,,2024-08-01
9b367ea1-5c6b-ef11-a670-6045bd0e516e,Internal waters -> Port area,Recreational craft,UNITED KINGDOM,4.9,5.7,UNITED KINGDOM,Wounds and superficial injuries,0,Wounds and superficial injuries,Recreational craft struck swimmer resulting in injuries to the head and shoulders.,Overcast,No damage,2024-08-01
92c09af2-2ab2-ef11-b8e8-002248006bd7,Coastal waters <= 12 nm,,,,,,,0,,Offshore supply vessel's pilot ladder did not conform to SOLAS regulations,Unknown,,2024-12-01
3c16e3d6-21a2-ed11-aad1-6045bd0b12c1,Coastal waters <= 12 nm,,,,,,,0,,Lifeboat boarding vessel made contact with an unknown object at low water.,Overcast,,2023-01-01
91f35e8d-5bb7-ed11-b597-0022481b5e4e,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,140000.0,330.0,,"Dislocations, sprains and strains",0,"Dislocations, sprains and strains",Passenger ship's crew member was descending the stairs when they sustained a knee injury.,Clear,No damage,2023-02-01
3aa8906a-aecf-ed11-a7c6-002248c87a40,Coastal waters <= 12 nm,,,,,,,0,,A general cargo vessel had a Non-SOLAS compliant pilot ladder.,Unknown,,2023-03-01
32d107e8-38e3-ed11-8846-002248c87a1d,Coastal waters <= 12 nm,Service ship,NETHERLANDS,24000.0,180.0,,Multiple injuries,0,Multiple injuries,Hopper dredger's crew member has fallen which resulted in further medical assistance,Clear,No damage,2023-04-01
72adcfb7-fffa-ed11-8f6d-002248c878ca,Coastal waters <= 12 nm,,,,,,,0,,A crude oil tanker had a non-SOLAS Compliant pilot ladder.,Unknown,,2023-05-01
f98b5fad-3510-ee11-8f6e-002248c87217,Coastal waters <= 12 nm,,,,,,,0,,A ro-pax vessel struck a navigation mark whilst arriving in port.,Clear,,2023-06-01
23ca6004-db3d-ee11-bdf4-002248c87a58,Coastal waters <= 12 nm,,,,,,,0,,A ro-pax ferry had a near miss collision with a private motor vessel.,Clear,,2023-08-01
d4cbde85-1ecf-ee11-9079-002248c87217,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,Bulk carrier's pilot ladder did not conform to SOLAS regulations.,Unknown,,2024-02-01
259bbb9b-e2f7-ee11-a1ff-002248c8714f,Inland waters -> River,,,,,,,0,,A search and rescue vessel grounded whilst assisting another vessel.,Overcast,,2024-04-01
7b6c06bc-f732-ef11-8e4e-6045bd0b05c8,Coastal waters <= 12 nm,,,,,,,0,,A cruise ship's pilot ladder did not conform to SOLAS regulations,Unknown,,2024-06-01
9e7dc555-5a56-ef11-bfe3-6045bd0b320a,Inland waters -> River,Passenger ship,UNITED KINGDOM,70.0,20.0,,Wounds and superficial injuries,0,Wounds and superficial injuries,Passenger vessels crew member caught their finger between line and bollard.,Clear,No damage,2024-08-01
21bacba8-b671-ef11-a670-6045bd0ce93b,Internal waters -> Port area,Unknown,UNITED KINGDOM,0.0,0.99,UNITED KINGDOM,Wounds and superficial injuries,0,Wounds and superficial injuries,A vessel crew member sustained a degloving injury to their finger.,Unknown,No damage,2024-09-01
6adf122a-ac96-ef11-8a68-000d3a0d1194,Open sea -> Within EEZ,,,,,,,0,,A fishing vessel suffered a propulsion failure and was towed back by another fishing vessel,Unknown,,2024-10-01
f6ef8db6-78a6-ef11-b8e8-6045bd0e3723,Internal waters -> Port area,Cargo ship,PANAMA,17000.0,160.0,UNITED KINGDOM,Bone fractures,0,Bone fractures,A bulk carrier crew member broke their leg during unmooring operations.,Rain,No damage,2024-11-01
34a1d0bc-50a9-ed11-aad0-6045bd0d76da,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,A general cargo vessel suffered a propulsion failure whilst leaving a port.,Clear,,2023-02-01
53535976-b5c4-ed11-b597-002248c70152,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,A dredger grounded whilst alongside due to a miscalculation of the depth of available water,Clear,,2023-02-01
79c259b3-a4e5-ed11-8846-002248c87a1d,"Internal waters -> Channel, river",,,,,,,0,,Cargo vessel lost steering control however no damages reported.,Overcast,,2023-04-01
3d847cb4-cd06-ee11-8f6e-002248c87a40,Coastal waters <= 12 nm,Service ship,BAHAMAS,20000.0,160.0,,"Dislocations, sprains and strains",0,"Dislocations, sprains and strains",Crane barge crew member dislocated their shoulder when pulling a heavy object,Unknown,No damage,2023-06-01
033e7250-4f16-ee11-9cbe-002248c87a40,Coastal waters <= 12 nm,,,,,,,0,,Fishing vessel broke down and repairs were unsuccessful resulting in a tow.,Unknown,,2023-06-01
6013e10a-2b35-ee11-bdf4-002248c8796d,Coastal waters <= 12 nm,,,,,,,0,,A dive vessel suffered an engine failure resulting in a tow request.,Unknown,,2023-08-01
6a95cc80-f06c-ee11-9ae7-002248c8714f,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,Ro-pax vessel shifted berth after discharging  with a lack of fendering available the belting on the port quarter made contact with a bollard resulting in a cracked bollard,Clear,,2023-10-01
7434031b-849e-ee11-be37-002248c878ca,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,General cargo ship's pilot ladder did not conform to SOLAS regulations.,Unknown,,2023-12-01
b9753b17-cad0-ee11-9079-002248c878ca,Coastal waters <= 12 nm,,,,,,,0,,"See MAIB investigation report, when available",Clear,,2024-02-01
538c53dd-bbdf-ee11-904c-0022481b57c2,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,A general cargo vessel struck the quay whilst berthing.,Clear,,2024-03-01
b9af4bbc-ec3d-ef11-a316-6045bd0b057b,Coastal waters <= 12 nm,,,,,,,0,,A general cargo vessel's pilot ladder did not conform to SOLAS regulations,Unknown,,2024-07-01
d117d20b-ff48-ef11-a316-0022481b6a03,Coastal waters <= 12 nm,,,,,,,0,,Tanker's pilot ladder did not conform to SOLAS regulations,Unknown,,2024-07-01
925e5dfb-ce53-ef11-bfe3-002248c7d68c,Inland waters,Recreational craft,UNITED KINGDOM,4.9,16.0,,Wounds and superficial injuries,0,Wounds and superficial injuries,River boat struck a branch resulting in damage to the starboard side windows and injuring 2 passengers.,Unknown,Minor damage (less than material damage),2024-07-01
04539e9c-496c-ef11-a670-6045bd0ce93b,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,Offshore supply vessel's pilot ladder did not conform to SOLAS regulations.,Unknown,,2024-09-01
34872318-0e8a-ef11-8a69-000d3a0d1194,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,A tug made contact with a general cargo vessel whilst in a lock,Unknown,,2024-10-01
f88b1d16-fdab-ef11-b8e8-002248006bd7,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,Container ship's pilot ladder did not conform to SOLAS regulations.,Unknown,,2024-11-01
44b1bc43-b6bb-ef11-b8e8-6045bd0c57c5,Open sea -> Within EEZ,,,,,,,0,,A fishing vessel experienced propulsion failure due to the engine over-speeding.,Rain,,2024-11-01
59bdd60f-639d-ed11-aad1-0022481b50d1,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,Cargo ship's pilot ladder did not conform to SOLAS regulations,Unknown,,2023-01-01
2c62a2aa-c8cf-ed11-a7c6-002248c87a40,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,A container vessel contacted the jetty resulting in damage to the starboard quarter of the vessel.,Unknown,,2023-03-01
b0c5a3b7-58e0-ed11-a7c6-002248c878ca,Coastal waters <= 12 nm,,,,,,,0,,A bulk carrier had a poor condition pilot ladder.,Unknown,,2023-04-01
f79a95ad-b20e-ee11-8f6e-002248c87a58,Open sea -> Within EEZ,Passenger ship,UNITED KINGDOM,180000.0,340.0,,Traumatic amputations (Loss of body parts),0,Traumatic amputations (Loss of body parts),A cruise ship crew member amputated their finger in the door of a cold room.,Clear,No damage,2023-06-01
96b48661-d21c-ee11-8f6d-002248c8714f,Internal waters -> Port area,Service ship,UNITED KINGDOM,23000.0,170.0,NETHERLANDS,Multiple injuries,0,Multiple injuries,A service vessel crew member sustained multiple injuries after being trapped in the messenger line.,Clear,No damage,2023-07-01
b88072b2-c636-ee11-bdf4-002248c878ca,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,Weighted heaving line was thrown onto a general cargo resulting in no damage.,Unknown,,2023-08-01
31fd14bf-1a6f-ee11-9ae7-002248c8714f,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,Ro-Ro passenger vessel made contact with the linkspan resulting in minor damage.,Rain,,2023-10-01
dcb44ea2-7384-ee11-8179-002248c87a1d,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,110000.0,290.0,,"Dislocations, sprains and strains",0,"Dislocations, sprains and strains",A cruise ship crew member sustained a knee injury.,Overcast,No damage,2023-11-01
634a6693-2bda-ee11-904d-002248c87a58,Coastal waters <= 12 nm,,,,,,,0,,Container ship's pilot ladder did not conform to SOLAS regulations,Unknown,,2024-03-01
d6d5c814-56fd-ee11-9f89-000d3a0cdd52,Coastal waters <= 12 nm,,,,,,,0,,Offshore support tug's pilot ladder did not conform to SOLAS regulations.,Unknown,,2024-04-01
269f2f4b-c303-ef11-9f89-000d3a86e758,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,A tanker collided with a moored cruise ship.,Overcast,,2024-04-01
6a8390d0-6a08-ef11-9f89-000d3a871495,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,A crew transfer vessel grounded.,Clear,,2024-05-01
8d1cfff7-3932-ef11-8e4e-6045bd0b033c,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,0.0,0.0,,Wounds and superficial injuries,0,Wounds and superficial injuries,A fishing vessel crew member became unresponsive after trying to remove a fishing hook from their hand,Unknown,No damage,2024-06-01
df27f8bc-d85b-ef11-bfe3-002248c89c9c,Inland waters -> River,,,,,,,0,,A inland waterways passenger vessel grounded.,Clear,,2024-08-01
cd5d5a42-b47c-ef11-ac20-002248c73738,Coastal waters <= 12 nm,,,,,,,0,,A crew transfer vessel experienced a carbon monoxide leak.,Clear,,2024-09-01
c2dc8faf-e07f-ef11-ac21-000d3a870c32,Coastal waters <= 12 nm,Passenger ship,UNITED KINGDOM,140000.0,330.0,,Bone fractures,0,Bone fractures,A cruise ships passenger tripped resulting in a closed fracture to the knee.,Clear,No damage,2024-09-01
cd85b0f9-6fb9-ef11-b8e8-6045bd0e476e,Coastal waters <= 12 nm,,,,,,,0,,A fishing vessel suffered water ingress and requested assistance,Overcast,,2024-12-01
e22b199f-17b9-ed11-b597-6045bd0b12c1,Internal waters -> Port area,Service ship,UNITED KINGDOM,2.3,3.4,UNITED KINGDOM,Drowning and asphyxiation,0,Drowning and asphyxiation,A search and rescue crewmember fell overboard during a man overboard training exercise,Overcast,No damage,2023-02-01
8343066e-f2c7-ed11-b596-002248c638b9,Open sea -> Within EEZ,,,,,,,0,,Fishing vessel suffered an engine fire and requested towage.,Overcast,,2023-03-01
1a6dcdee-d0f3-ed11-8848-002248c87a40,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,General cargo's pilot ladder did not conform to SOLAS regulations.,Clear,,2023-05-01
636f3890-59f6-ed11-8848-002248c87a57,Inland waters -> River,,,,,,,0,,A tug was towing two barges when it made contact with a bridge.,Clear,,2023-05-01
9a4108a8-5400-ee11-8f6c-002248c87a1d,Coastal waters <= 12 nm,,,,,,,0,,Survey vessel pulled up a suspected mine which was confirmed as being casing only and inert.,Clear,,2023-05-01
f8d479fe-850e-ee11-8f6e-002248c87a58,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,0.0,9.9,UNITED KINGDOM,Unknown or unspecified,0,Unknown or unspecified,RIB's crew member sustained a back injury requiring further medical assistance.,Overcast,No damage,2023-06-01
5e85c7cd-291b-ee11-8f6d-002248c87a40,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,55.0,23.0,,Concussions and internal injuries (including crush injuries not mentioned above),0,Concussions and internal injuries (including crush injuries not mentioned above),A Sail training vessel crew member hit their head on a hatch and suffered concussion,Overcast,No damage,2023-07-01
dc047e0c-a324-ee11-9965-002248c8714f,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,Cargo vessel suffered an engine fire resulting in no major damages or injuries.,Overcast,,2023-07-01
0f618ebe-ce32-ee11-bdf3-002248c87a58,Inland waters -> River,,,,,,,0,,A recreational craft collided with a moored class v passenger vessel with the recreational subsequently sinking at mooring.,Clear,,2023-08-01
7425baf7-d040-ee11-bdf3-002248c8714f,Open sea -> Within EEZ,Service ship,UNITED KINGDOM,2000.0,60.0,,Wounds and superficial injuries,0,Wounds and superficial injuries,A supply vessel passenger sustained a laceration to their finger.,Clear,No damage,2023-08-01
bc18f003-c16c-ee11-9ae7-002248c87217,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,100000.0,280.0,AUSTRALIA,Bone fractures,0,Bone fractures,Cruise ship's passenger lost their balance and fell resulting in a fractured wrist.,Clear,No damage,2023-10-01
2f6ee94a-0674-ee11-8179-002248c87a40,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,110000.0,290.0,,Bone fractures,0,Bone fractures,A cruise ship crewmember fell from the ladder of a bunkbed and fractured their arm.,Overcast,Minor damage (less than material damage),2023-10-01
8a2872d2-a8fc-ee11-9f8a-002248c8714f,Coastal waters <= 12 nm,,,,,,,0,,A container ship had an inadequate pilot ladder arrangement.,Unknown,,2024-04-01
62d67057-7913-ef11-9f89-6045bd0ddb30,Coastal waters <= 12 nm,,,,,,,0,,Cargo ship's pilot ladder did not conform to SOLAS regulations.,Unknown,,2024-05-01
73ed54c7-dd24-ef11-840a-000d3a0cc6ca,Coastal waters <= 12 nm,,,,,,,0,,A ro-ro cargo vessel had an inadequate pilot ladder arrangement.,Unknown,,2024-06-01
86717b4d-ff5d-ef11-bfe4-6045bd0b320a,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,110000.0,290.0,UNITED STATES - US,Bone fractures,0,Bone fractures,A cruise ship passenger fell down the stairs and fractured their ankle.,Clear,No damage,2024-08-01
515222ed-716f-ef11-a670-6045bd0ce93b,Coastal waters <= 12 nm,Passenger ship,BERMUDA,140000.0,330.0,,Bone fractures,0,Bone fractures,A cruise ship passenger rolled their ankle whilst walking and sustained a fracture.,Overcast,No damage,2024-09-01
37256982-18ab-ef11-b8e8-002248c7c668,Coastal waters <= 12 nm,,,,,,,0,,Fishing vessel lost power resulting in being towed into harbour by another fishing vessel.,Unknown,,2024-11-01
3d7e94f1-90c6-ef11-b8e8-002248c68c1c,Coastal waters <= 12 nm,,,,,,,0,,Cargo vessel's pilot ladder did not conform to SOLAS regulations,Unknown,,2024-12-01
e48fae96-26eb-ed11-8847-002248c878ca,Open sea -> Within EEZ,Service ship,UNITED KINGDOM,9300.0,130.0,,Bone fractures,0,Bone fractures,Dive support vessel crewmember sustained a hand injury and was airlifted to shore.,Unknown,No damage,2023-05-01
8d825988-982b-ee11-bdf4-002248c8796d,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,Sailing vessel fouled its prop and needed to be assisted to safety after being blown against rock wall.,Unknown,,2023-07-01
750c60aa-f731-ee11-bdf3-002248c87a4c,Coastal waters <= 12 nm,,,,,,,0,,A ro-ro cargo vessel had an inadequate pilot ladder arrangement.,Unknown,,2023-07-01
f28e1cd2-6337-ee11-bdf4-002248c8714f,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,General cargo experienced an engine and gearbox failure.,Unknown,,2023-08-01
05610e6e-8342-ee11-bdf3-002248c87a40,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,Container vessel's pilot ladder not rigged per SOLAS regulations.,Unknown,,2023-08-01
1e4e0bfb-ed77-ee11-8179-002248c878ca,Coastal waters <= 12 nm,,,,,,,0,,Proceed to berth without any further issues close quarters between a guard vessel and a chemical tanker resulting in no damage to either vessels,Unknown,,2023-10-01
69d1048a-419b-ee11-be37-002248c8796d,Coastal waters <= 12 nm,,,,,,,0,,A search and rescue vessel grounded during an exercise.,Unknown,,2023-12-01
69d7401f-72bb-ee11-9078-002248c87a40,Coastal waters <= 12 nm,,,,,,,0,,A rib and a yacht collided,Clear,,2023-09-01
d21cb302-1ccb-ee11-9079-002248c87a1d,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,Container ship's pilot ladder did not conform to SOLAS regulations.,Unknown,,2024-02-01
513f8d7d-f4e1-ee11-904d-002248c8796d,Coastal waters <= 12 nm,Passenger ship,UNITED KINGDOM,100000.0,280.0,,Bone fractures,0,Bone fractures,A cruise ship passenger fell whilst entering a tender and broke their rib.,Clear,No damage,2024-03-01
f8d57cc2-37e8-ee11-904c-002248c87005,Coastal waters <= 12 nm,,,,,,,0,,Sailing vessel fire onboard resulting in tow back to safety.,Unknown,,2024-03-01
95237bb7-ac54-ef11-bfe3-002248c7bf34,Coastal waters <= 12 nm,,,,,,,0,,"Training sailing vessel ran aground, damage unknown.",Clear,,2024-08-01
ca865672-8564-ef11-a670-00224800e373,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,A general cargo vessel had an inadequate pilot ladder arrangement.,Unknown,,2024-08-01
83aee053-aa8f-ef11-8a6a-6045bd0cb55a,Coastal waters <= 12 nm,,,,,,,0,,A fishing vessel started to take on water and was towed.,Unknown,,2024-10-01
2918605d-1598-ed11-aad1-0022481b5e4e,Internal waters -> Port area,Passenger ship,FRANCE,27000.0,160.0,UNITED KINGDOM,"Dislocations, sprains and strains",0,"Dislocations, sprains and strains",A ro-pax ferry crewmember sustained a foot injury whilst loading unaccompanied trailers.,Clear,No damage,2023-01-01
9c8a800a-60ea-ed11-8847-002248c87a40,Coastal waters <= 12 nm,,,,,,,0,,Close quarters situation between Ro-Pax vessel and sailing vessel.,Clear,,2023-05-01
a8cf0c79-85ff-ed11-8f6c-002248c8714f,Inland waters -> Lake,Recreational craft,UNITED KINGDOM,0.0,4.4,,Wounds and superficial injuries,0,Wounds and superficial injuries,Training RIB crewmember fell overboard and was struck by the propeller resulting in a minor injury.,Clear,No damage,2023-05-01
cd6a3205-2109-ee11-8f6e-002248c87a40,Coastal waters <= 12 nm,,,,,,,0,,A motor vessel suffered an engine failure and requested towage.,Overcast,,2023-06-01
bddd10ed-810b-ee11-8f6e-002248c87a58,Coastal waters <= 12 nm,,,,,,,0,,A search and rescue vessel made contact with an unknown object and sustained minor damages.,Overcast,,2023-06-01
8a74f872-c611-ee11-8f6e-002248c87a58,Internal waters -> Port area,Service ship,UNITED KINGDOM,30.0,16.0,UNITED KINGDOM,"Dislocations, sprains and strains",0,"Dislocations, sprains and strains",A search and rescue vessel crew member dislocated their knee.,Clear,No damage,2023-06-01
21c07df1-ef5d-ee11-8def-002248c878ca,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,100000.0,280.0,,Bone fractures,0,Bone fractures,A cruise ship passenger fell forward at the top of a staircase and sustained a fractured wrist.,Clear,No damage,2023-09-01
d6e3e339-c9af-ee11-a569-002248c87a1d,Coastal waters <= 12 nm,Service ship,UNITED KINGDOM,20.0,14.0,,"Dislocations, sprains and strains",0,"Dislocations, sprains and strains",A pilot snapped a tendon in their finger whilst disembarking from a vessel.,Clear,No damage,2024-01-01
45a2e264-0c0e-ef11-9f89-000d3a870879,Coastal waters <= 12 nm,,,,,,,0,,A general cargo vessel had an inadequate pilot ladder arrangement.,Clear,,2024-05-01
0897c7c6-fc32-ef11-8e4e-6045bd0b05c8,Coastal waters <= 12 nm,,,,,,,0,,A ro-pax vessel had a near miss with two sailing vessels,Clear,,2024-06-01
7ff16516-b58f-ef11-8a69-0022481bb21d,Internal waters -> Port area,,,,,BELGIUM,,0,,A bulk carrier had an overflow accident during bunkering resulting in pollution.,Clear,,2024-10-01
15202088-62b8-ef11-b8e8-002248006bd7,Open sea -> Within EEZ,Fishing vessel,UNITED KINGDOM,470.0,28.0,,Bone fractures,0,Bone fractures,A fishing vessel crew member fell from height and sustained a back injury,Clear,No damage,2024-12-01
98702e26-6d8b-ed11-81ad-0022481b5fc8,Coastal waters <= 12 nm,,,,,,,0,,Close quarters situation between a high-speed passenger vessel and a small harbour vessel.,Clear,,2022-12-01
57c68cc4-1ca2-ed11-aad1-6045bd0b12c1,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,Tug vessel sustained an engine file while alongside.,Unknown,,2023-01-01
443cfff1-8bab-ed11-83ff-0022481b5a3b,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,A search and rescue vessel's propeller made contact with a carriage resulting in minor damage.,Clear,,2023-02-01
0bd02a2e-62df-ed11-a7c6-002248c8796d,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,A landing ship had an electrical fire when an electrical transformer overheated.,Overcast,,2023-04-01
e0209103-c420-ee11-9966-002248c878ca,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,180000.0,340.0,UNITED KINGDOM,Bone fractures,0,Bone fractures,Cruise ship's crew member trapped their finger and sustained a closed fracture,Overcast,No damage,2023-07-01
